model,family,description,test_mae,test_rmse,test_r2,validation_mae,evaluation_rows,uses_sequence_window
random_forest,classical_ml,Tree ensemble,0.0032853384036477576,0.021791377266302998,0.9966985291806002,0.0025677887994818315,648,False
hist_gradient_boosting,classical_ml,Gradient boosting tree ensemble,0.003322186050282937,0.01880726878895436,0.9975408242543489,0.0033420719997665615,648,False
tree_blend_validation_weighted,ensemble_blend,Validation-weighted blend of tree models,0.00336092424412464,0.02011291488257972,0.9971875284671785,0.002901308906587186,648,False
tree_blend_equal_weight,ensemble_blend,Equal-weight blend of tree models,0.003366848611515489,0.019986736541492002,0.9972227058491584,0.0029325095789356314,648,False
xgboost,classical_ml,XGBoost tree ensemble,0.0036104626951962643,0.020983691109457116,0.9969387283248564,0.003232059173692621,648,False
ridge_regression,classical_ml,Linear regression with regularization,0.17534760582952755,0.24730614403654536,0.5747856465725936,0.16378568398587956,648,False
cnn_lstm,deep_learning,Sequence neural network,0.30003470182418823,0.4173707159678776,-0.187933087348938,,632,True
mean_baseline,classical_ml,Naive mean baseline,0.3449590211657908,0.3886810830029215,-0.05032792516063345,0.3784436403710793,648,False
